"StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q39","C1_Car_Usage","C2_Car_type","C3_Travel_Distance","C4_Public_Transport","Q74","C5_Air_Travel","C4_Public_Transport2","E1_Electricity_Usage","E2_Electricity_bill_1","E3_natural_gas_bill_1","H2_Heating_type","H3_Housing","H4_Housing","H4_Housing_4_TEXT","F1_Cooking_Equipment","F1_Cooking_Equipment_4_TEXT","F3_Q28_1","F3_Q28_2","F3_Q28_3","F3_Q28_4","W1_Q30_3","CL1_Q31","CL2_Q35","Q43","Q42","Q42_4_TEXT","Q44_1","Q44_2","Q44_3","Q44_4","Q73_1","Q73_2","Q73_3","Q73_4","Q73_5","Age","Gender","Q40","Q41","Q75","Family_size_6","Family_size_14","Family_size_15","US_Zip_Code"
2024-05-17 02:18:10,2024-05-17 02:22:56,0,"173.63.145.91",100,286,1,2024-05-17 02:22:57,"R_7CjOm5iW7JuUVP3","","","","","40.8177","-73.9771","anonymous","EN",4,2,3,1,1,1,3,3,1,59,69,3,2,1,"",1,"",6,4,2,2,35,4,"2",2,2,"",7,6,7,6,6,6,4,6,6,3,1,5,3,1,"1","0","0","07657"
2024-05-17 02:18:06,2024-05-17 02:23:34,0,"67.81.46.95",100,328,1,2024-05-17 02:23:35,"R_7TFY6uirKNPQHe2","","","","","40.4551","-74.4871","anonymous","EN",4,5,3,1,5,4,1,5,2,119,50,1,2,3,"",1,"",12,0,0,7,80,4,"3",2,2,"",6,6,4,6,6,6,6,6,4,4,1,5,3,2,"2","2","0","08902"
2024-05-17 02:17:11,2024-05-17 02:24:11,0,"74.72.168.16",100,419,1,2024-05-17 02:24:11,"R_3p2XclVw7tX8pZq","","","","","40.6994","-73.8883","anonymous","EN",4,2,3,1,1,1,3,4,1,121,70,2,1,1,"",1,"",9,0,0,5,30,3,"1",2,2,"",7,7,7,6,6,6,2,4,4,3,1,3,3,1,"2","0","0","11385"
2024-05-17 02:18:28,2024-05-17 02:25:21,0,"71.127.170.229",100,413,1,2024-05-17 02:25:22,"R_3uErvuiOLjq1pgR","","","","","42.9237","-76.4098","anonymous","EN",4,2,3,2,5,4,2,5,2,152,85,1,3,2,"",1,"",7,1,7,13,95,2,"2",2,2,"",7,6,7,6,6,7,6,6,6,4,2,6,1,2,"1","0","0","13152"
2024-05-17 02:17:48,2024-05-17 02:27:03,0,"143.244.60.145",100,554,1,2024-05-17 02:27:03,"R_3OBNVsr7veoa5CL","","","","","40.7157","-74.0215","anonymous","EN",4,3,3,1,2,2,1,4,3,208,214,2,2,1,"",1,"",11,6,5,9,102,2,"1",1,2,"",6,6,6,4,6,6,4,4,6,3,1,6,3,1,"1","0","0","13402"
2024-05-17 02:23:44,2024-05-17 02:31:02,0,"75.249.141.85",100,438,1,2024-05-17 02:31:03,"R_7MTcmEBXopCmzce","","","","","40.6496","-74.3505","anonymous","EN",4,1,NA,NA,4,2,1,4,4,0,0,3,2,1,"",1,"",14,0,0,14,0,3,"1",2,2,"",7,6,7,7,7,7,4,6,6,4,1,2,1,2,"2","0","0","07005"
2024-05-17 02:23:22,2024-05-17 02:31:22,0,"74.88.152.8",100,480,1,2024-05-17 02:31:23,"R_7R2388HGwn8dw37","","","","","40.713","-73.5597","anonymous","EN",4,2,1,2,1,1,2,5,2,100,100,1,2,1,"",1,"",6,0,0,14,61,4,"2",7,1,"",1,1,1,1,1,1,1,1,1,4,1,5,4,2,"1","0","0","11803"
2024-05-17 02:19:27,2024-05-17 02:31:34,0,"172.59.210.74",100,726,1,2024-05-17 02:31:34,"R_6nZvfzefAZYJxnQ","","","","","40.7238","-74.2293","anonymous","EN",4,3,3,1,3,4,3,4,2,151,60,3,2,2,"",2,"",14,2,10,6,129,2,"5",3,3,"",7,6,6,4,6,4,6,4,6,3,2,4,2,2,"3","0","1","08850"
2024-05-17 02:22:16,2024-05-17 02:32:02,0,"108.20.209.183",100,585,1,2024-05-17 02:32:02,"R_74vrMMY9AfPPV9T","","","","","42.3104","-71.2741","anonymous","EN",4,2,3,1,2,2,2,4,1,85,60,1,2,2,"",2,"",5,1,2,6,45,4,"1",3,3,"",6,4,6,6,7,7,7,6,6,3,1,5,5,2,"4","0","0","02446"
2024-05-17 02:24:15,2024-05-17 02:35:27,0,"173.3.208.172",100,671,1,2024-05-17 02:35:28,"R_2AMAG1jE8rmrjO2","","","","","40.9451","-74.2531","anonymous","EN",4,5,3,1,5,4,1,5,4,100,100,1,2,1,"",1,"",14,0,0,7,60,4,"2",3,3,"",7,7,7,4,6,6,4,4,4,3,1,2,2,2,"3","0","0","07420"
